nhood,day_of_week,hour_bucket,avg_pickups,max_pickups,min_pickups,nhood_id,hour_bucket_id
Nob Hill,3,7-10,14.81,44.75,2.75,11,4
Nob Hill,4,0-7,5.07,30.5,0.75,11,0
Nob Hill,4,10-16,17.58,52.25,3.75,11,1
Nob Hill,4,16-19,42.82,98.75,6.5,11,2
Nob Hill,4,19-0,41.18,105.0,4.25,11,3
Nob Hill,4,7-10,15.01,51.0,2.5,11,4
Nob Hill,5,0-7,3.96,12.25,0.75,11,0
Nob Hill,5,10-16,27.53,90.5,6.25,11,1
Nob Hill,5,16-19,42.62,103.5,10.75,11,2
Nob Hill,5,19-0,39.94,112.25,5.5,11,3
Nob Hill,5,7-10,11.29,34.25,1.75,11,4
Nob Hill,6,0-7,4.18,14.75,0.25,11,0
Nob Hill,6,10-16,18.91,52.25,3.75,11,1
Nob Hill,6,16-19,28.2,69.0,9.5,11,2
Nob Hill,6,19-0,14.52,62.25,0.25,11,3
Nob Hill,6,7-10,8.71,31.0,0.75,11,4
North Beach/Waterfront,0,0-7,2.12,18.6,0.0,12,0
North Beach/Waterfront,0,10-16,11.15,53.4,0.0,12,1
North Beach/Waterfront,0,16-19,17.8,76.2,0.0,12,2
North Beach/Waterfront,0,19-0,7.93,74.2,0.0,12,3
North Beach/Waterfront,0,7-10,13.7,59.4,0.0,12,4
North Beach/Waterfront,1,0-7,2.12,20.6,0.0,12,0
North Beach/Waterfront,1,10-16,11.85,54.6,0.0,12,1
North Beach/Waterfront,1,16-19,19.55,78.2,0.0,12,2
North Beach/Waterfront,1,19-0,9.63,76.2,0.0,12,3
North Beach/Waterfront,1,7-10,14.84,58.2,0.0,12,4
North Beach/Waterfront,2,0-7,2.29,19.2,0.0,12,0
North Beach/Waterfront,2,10-16,13.43,66.8,0.0,12,1
North Beach/Waterfront,2,16-19,22.16,85.2,0.0,12,2
North Beach/Waterfront,2,19-0,12.38,91.2,0.0,12,3
North Beach/Waterfront,2,7-10,16.48,65.4,0.0,12,4
North Beach/Waterfront,3,0-7,2.52,22.0,0.0,12,0
North Beach/Waterfront,3,10-16,14.63,65.75,0.0,12,1
North Beach/Waterfront,3,16-19,21.88,89.5,0.0,12,2
North Beach/Waterfront,3,19-0,14.45,100.0,0.0,12,3
North Beach/Waterfront,3,7-10,18.79,77.0,0.0,12,4
North Beach/Waterfront,4,0-7,2.4,21.0,0.0,12,0
North Beach/Waterfront,4,10-16,14.64,66.0,0.0,12,1
North Beach/Waterfront,4,16-19,22.63,126.25,0.0,12,2
